Timestamp,Spol,Koliko imas godina?,Zavrsio si?,sto mislis koliko ima gradova u Hrvatskoj?,mislis li da je udaljenost od Zagreba do Pariza veća od 3000 km?,sto mislis kolika je ta udaljenost?,,,
6/2/2015 19:43:06,musko,17,Fakultet,10,Ne,2000,,,
5/21/2015 1:52:07,zensko,19,Srednju skolu,107,Ne,573,,,
5/20/2015 18:38:12,zensko,19,Srednju skolu,50,Da,6000,,,40-59
5/20/2015 23:08:18,zensko,19,Srednju skolu,50,Da,2000,,,
5/20/2015 22:03:22,zensko,20,Srednju skolu,200,Ne,2000,,,
5/22/2015 15:33:12,zensko,20,Srednju skolu,200,Ne,2000,,,
5/20/2015 19:38:05,zensko,20,Srednju skolu,150,Ne,1000,,,
5/20/2015 21:34:55,zensko,20,Srednju skolu,127,Ne,1500,,,
5/20/2015 18:55:28,zensko,20,Srednju skolu,100,Da,3500,,,
5/24/2015 16:55:55,zensko,20,Srednju skolu,100,Ne,1400,,,
5/22/2015 18:37:22,zensko,20,Srednju skolu,91,Ne,2000,,,
5/20/2015 23:32:07,musko,20,Srednju skolu,80,Ne,2500,,,
5/21/2015 0:37:43,zensko,20,Srednju skolu,76,Ne,2700,,,
5/20/2015 20:16:34,zensko,20,Srednju skolu,30,Ne,1500,,,
5/20/2015 19:34:20,zensko,21,Srednju skolu,1500,Ne,2000,,,
5/20/2015 22:31:43,zensko,21,Srednju skolu,1500,Da,3500,,,
5/21/2015 22:27:31,zensko,21,Srednju skolu,1200,Ne,2500,,,
5/20/2015 18:59:46,zensko,21,Srednju skolu,1000,Ne,2150,,,
5/20/2015 20:05:23,musko,21,Srednju skolu,1000,Da,5000,,,
5/20/2015 20:25:16,zensko,21,Srednju skolu,1000,Da,4000,,,
5/20/2015 21:47:02,zensko,21,Srednju skolu,625,Ne,1500,,,
5/20/2015 19:55:30,zensko,21,Srednju skolu,500,Da,5000,,,
5/20/2015 21:29:58,musko,21,Srednju skolu,500,Ne,1500,,,
5/21/2015 11:32:23,zensko,21,Srednju skolu,500,Da,5000,,,
5/20/2015 23:31:53,musko,21,Srednju skolu,450,Da,5000,,,
5/20/2015 19:26:09,musko,21,Srednju skolu,400,Ne,2500,,,
5/21/2015 18:11:56,musko,21,Srednju skolu,350,Da,3200,,,
5/20/2015 19:18:48,zensko,21,Srednju skolu,343,Ne,2343,,,
5/21/2015 22:32:18,zensko,21,Srednju skolu,300,Ne,2995,,,
5/23/2015 16:02:19,zensko,21,Srednju skolu,280,Ne,1500,,,
5/20/2015 21:04:18,zensko,21,Srednju skolu,250,Ne,1500,,,
5/24/2015 19:14:27,zensko,21,Srednju skolu,250,Ne,2500,,,
5/20/2015 23:49:36,zensko,21,Srednju skolu,223,Ne,1000,,,
5/20/2015 18:53:58,zensko,21,Srednju skolu,200,Ne,2500,,,
5/20/2015 18:55:49,zensko,21,Srednju skolu,200,Ne,2000,,,
5/20/2015 21:01:41,zensko,21,Srednju skolu,200,Ne,700,,,
5/22/2015 0:02:10,zensko,21,Srednju skolu,200,Ne,1900,,,
5/22/2015 16:50:02,musko,21,Srednju skolu,200,Ne,2200,,,
5/21/2015 19:28:11,zensko,21,Srednju skolu,198,Ne,2000,,,
5/21/2015 1:05:42,zensko,21,Srednju skolu,180,Ne,1800,,,
5/20/2015 19:40:02,musko,21,Srednju skolu,172,Ne,2300,,,
5/20/2015 23:32:08,musko,21,Srednju skolu,160,Ne,2500,,,
5/20/2015 19:05:16,musko,21,Srednju skolu,153,Ne,2500,,,
5/20/2015 19:07:26,musko,21,Srednju skolu,150,Ne,2300,,,
5/20/2015 19:24:21,musko,21,Srednju skolu,150,Ne,2000,,,
5/20/2015 20:48:37,zensko,21,Srednju skolu,150,Da,3200,,,
5/20/2015 23:36:42,musko,21,Srednju skolu,150,Da,6000,,,
5/21/2015 16:06:16,musko,21,Srednju skolu,150,Ne,1500,,,
5/20/2015 19:05:20,musko,21,Srednju skolu,147,Ne,2433,,,
5/20/2015 20:21:45,musko,21,Srednju skolu,140,Ne,2500,,,
