"Spol","Koliko.imas.godina.","Zavrsio.si.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj.","mislis.li.da.je.udaljenost.od.Zagreba.do.Pariza.veÄ.a.od.3000.km.","sto.mislis.kolika.je.ta.udaljenost."
"1","musko",17,"Fakultet",10,"Ne",2000
"2","zensko",19,"Srednju skolu",107,"Ne",573
"3","zensko",19,"Srednju skolu",50,"Da",6000
"4","zensko",19,"Srednju skolu",50,"Da",2000
"5","zensko",20,"Srednju skolu",200,"Ne",2000
"6","zensko",20,"Srednju skolu",200,"Ne",2000
"7","zensko",20,"Srednju skolu",150,"Ne",1000
"8","zensko",20,"Srednju skolu",127,"Ne",1500
"9","zensko",20,"Srednju skolu",100,"Da",3500
"10","zensko",20,"Srednju skolu",100,"Ne",1400
"11","zensko",20,"Srednju skolu",91,"Ne",2000
"12","musko",20,"Srednju skolu",80,"Ne",2500
"13","zensko",20,"Srednju skolu",76,"Ne",2700
"14","zensko",20,"Srednju skolu",30,"Ne",1500
"15","zensko",21,"Srednju skolu",1500,"Ne",2000
"16","zensko",21,"Srednju skolu",1500,"Da",3500
"17","zensko",21,"Srednju skolu",1200,"Ne",2500
"18","zensko",21,"Srednju skolu",1000,"Ne",2150
"19","musko",21,"Srednju skolu",1000,"Da",5000
"20","zensko",21,"Srednju skolu",1000,"Da",4000
"21","zensko",21,"Srednju skolu",625,"Ne",1500
"22","zensko",21,"Srednju skolu",500,"Da",5000
"23","musko",21,"Srednju skolu",500,"Ne",1500
"24","zensko",21,"Srednju skolu",500,"Da",5000
"25","musko",21,"Srednju skolu",450,"Da",5000
"26","musko",21,"Srednju skolu",400,"Ne",2500
"27","musko",21,"Srednju skolu",350,"Da",3200
"28","zensko",21,"Srednju skolu",343,"Ne",2343
"29","zensko",21,"Srednju skolu",300,"Ne",2995
"30","zensko",21,"Srednju skolu",280,"Ne",1500
"31","zensko",21,"Srednju skolu",250,"Ne",1500
"32","zensko",21,"Srednju skolu",250,"Ne",2500
"33","zensko",21,"Srednju skolu",223,"Ne",1000
"34","zensko",21,"Srednju skolu",200,"Ne",2500
"35","zensko",21,"Srednju skolu",200,"Ne",2000
"36","zensko",21,"Srednju skolu",200,"Ne",700
"37","zensko",21,"Srednju skolu",200,"Ne",1900
"38","musko",21,"Srednju skolu",200,"Ne",2200
"39","zensko",21,"Srednju skolu",198,"Ne",2000
"40","zensko",21,"Srednju skolu",180,"Ne",1800
"41","musko",21,"Srednju skolu",172,"Ne",2300
"42","musko",21,"Srednju skolu",160,"Ne",2500
"43","musko",21,"Srednju skolu",153,"Ne",2500
"44","musko",21,"Srednju skolu",150,"Ne",2300
"45","musko",21,"Srednju skolu",150,"Ne",2000
"46","zensko",21,"Srednju skolu",150,"Da",3200
"47","musko",21,"Srednju skolu",150,"Da",6000
"48","musko",21,"Srednju skolu",150,"Ne",1500
"49","musko",21,"Srednju skolu",147,"Ne",2433
"50","musko",21,"Srednju skolu",140,"Ne",2500
"51","musko",21,"Srednju skolu",139,"Ne",222
"52","zensko",21,"Srednju skolu",134,"Ne",1500
"53","musko",21,"Srednju skolu",131,"Ne",1500
"54","zensko",21,"Srednju skolu",130,"Da",5000
"55","zensko",21,"Srednju skolu",130,"Ne",1500
"56","musko",21,"Srednju skolu",130,"Ne",1000
"57","musko",21,"Srednju skolu",129,"Ne",1000
"58","musko",21,"Srednju skolu",128,"Ne",1500
"59","zensko",21,"Srednju skolu",128,"Ne",2000
"60","musko",21,"Srednju skolu",128,"Da",4200
"61","musko",21,"Srednju skolu",128,"Ne",1300
"62","musko",21,"Srednju skolu",128,"Ne",1700
"63","musko",21,"Srednju skolu",128,"Ne",1500
"64","zensko",21,"Srednju skolu",127,"Ne",2800
"65","musko",21,"Srednju skolu",127,"Ne",1500
"66","zensko",21,"Srednju skolu",127,"Ne",14000
"67","zensko",21,"Srednju skolu",125,"Ne",2000
"68","zensko",21,"Srednju skolu",125,"Ne",1000
"69","musko",21,"Srednju skolu",123,"Ne",1750
"70","musko",21,"Srednju skolu",121,"Ne",2780
"71","musko",21,"Srednju skolu",120,"Ne",1500
"72","musko",21,"Srednju skolu",120,"Ne",1500
"73","zensko",21,"Srednju skolu",120,"Ne",1500
"74","musko",21,"Srednju skolu",105,"Ne",2000
"75","musko",21,"Srednju skolu",100,"Ne",1095
"76","musko",21,"Srednju skolu",100,"Ne",1300
"77","musko",21,"Srednju skolu",100,"Da",1000
"78","zensko",21,"Srednju skolu",100,"Da",5000
"79","zensko",21,"Srednju skolu",100,"Ne",1500
"80","zensko",21,"Srednju skolu",90,"Ne",2500
"81","zensko",21,"Srednju skolu",80,"Ne",2000
"82","zensko",21,"Srednju skolu",80,"Ne",2000
"83","zensko",21,"Srednju skolu",72,"Ne",635
"84","zensko",21,"Srednju skolu",70,"Ne",1000
"85","musko",21,"Srednju skolu",60,"Ne",1500
"86","zensko",21,"Srednju skolu",58,"Ne",1500
"87","musko",21,"Srednju skolu",50,"Ne",1500
"88","zensko",21,"Srednju skolu",50,"Ne",3600
"89","zensko",21,"Srednju skolu",42,"Ne",1800
"90","zensko",21,"Srednju skolu",35,"Ne",2000
"91","musko",21,"Srednju skolu",31,"Ne",1867
"92","zensko",22,"Srednju skolu",5000,"Ne",2750
"93","zensko",22,"Srednju skolu",1500,"Ne",1785
"94","musko",22,"Srednju skolu",1000,"Ne",1500
"95","zensko",22,"Srednju skolu",1000,"Ne",1800
"96","zensko",22,"Srednju skolu",500,"Da",3500
"97","zensko",22,"Srednju skolu",400,"Ne",700
"98","zensko",22,"Srednju skolu",300,"Ne",1000
"99","zensko",22,"Srednju skolu",220,"Da",4000
"100","zensko",22,"Srednju skolu",200,"Ne",1500
"101","zensko",22,"Srednju skolu",200,"Ne",3000
"102","musko",22,"Srednju skolu",200,"Da",5000
"103","zensko",22,"Srednju skolu",180,"Ne",1600
"104","zensko",22,"Srednju skolu",150,"Da",4500
"105","zensko",22,"Srednju skolu",150,"Ne",2300
"106","musko",22,"Srednju skolu",149,"Ne",1200
"107","zensko",22,"Srednju skolu",138,"Ne",2000
