"Spol","Koliko.imas.godina.","Zavrsio.si.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza.","mislis.li.da.u.Hrvatskoj.ima.vise.od.400.gradova.","sto.mislis.koliko.ih.ima."
"1","musko",17,"Osnovnu skolu",2000,"Da",420
"2","musko",18,"Srednju skolu",900,"Ne",126
"3","zensko",18,"Srednju skolu",2500,"Ne",126
"4","musko",19,"Srednju skolu",1000,"Ne",350
"5","zensko",19,"Srednju skolu",1500,"Da",1000
"6","musko",19,"Srednju skolu",2000,"Da",1000
"7","zensko",19,"Srednju skolu",250,"Da",650
"8","musko",19,"Srednju skolu",1500,"Da",600
"9","zensko",19,"Srednju skolu",1245,"Da",523
"10","zensko",19,"Srednju skolu",1000,"Da",500
"11","zensko",19,"Srednju skolu",2000,"Ne",500
"12","zensko",19,"Srednju skolu",3000,"Da",500
"13","zensko",19,"Srednju skolu",500,"Da",426
"14","musko",19,"Srednju skolu",500,"Da",401
"15","musko",19,"Srednju skolu",700,"Da",400
"16","musko",19,"Srednju skolu",1500,"Ne",380
"17","zensko",19,"Srednju skolu",8000,"Ne",300
"18","zensko",19,"Srednju skolu",1200,"Ne",290
"19","zensko",19,"Srednju skolu",3000,"Ne",280
"20","zensko",19,"Srednju skolu",1000,"Ne",250
"21","zensko",19,"Srednju skolu",700,"Ne",250
"22","zensko",19,"Srednju skolu",1500,"Ne",241
"23","zensko",19,"Srednju skolu",3000,"Ne",215
"24","zensko",19,"Srednju skolu",1000,"Ne",200
"25","musko",19,"Srednju skolu",10000,"Ne",200
"26","musko",19,"Srednju skolu",1200,"Ne",200
"27","musko",19,"Srednju skolu",1500,"Ne",200
"28","musko",19,"Srednju skolu",1000,"Ne",170
"29","musko",19,"Srednju skolu",5000,"Ne",160
"30","zensko",19,"Srednju skolu",350,"Ne",160
"31","zensko",19,"Srednju skolu",1200,"Ne",150
"32","musko",19,"Srednju skolu",800,"Ne",150
"33","musko",19,"Srednju skolu",1300,"Ne",150
"34","musko",19,"Srednju skolu",900,"Ne",140
"35","zensko",19,"Srednju skolu",1600,"Ne",130
"36","musko",19,"Srednju skolu",3000,"Ne",128
"37","zensko",19,"Srednju skolu",956,"Ne",128
"38","zensko",19,"Fakultet",800,"Ne",128
"39","zensko",19,"Srednju skolu",1500,"Ne",128
"40","zensko",19,"Srednju skolu",1500,"Ne",128
"41","zensko",19,"Srednju skolu",800,"Ne",128
"42","zensko",19,"Srednju skolu",2000,"Ne",128
"43","zensko",19,"Srednju skolu",2000,"Ne",128
"44","musko",19,"Srednju skolu",1300,"Ne",128
"45","zensko",19,"Srednju skolu",1200,"Ne",127
"46","musko",19,"Srednju skolu",1900,"Ne",127
"47","zensko",19,"Srednju skolu",1000,"Ne",126
"48","zensko",19,"Srednju skolu",1500,"Ne",125
"49","musko",19,"Srednju skolu",700,"Ne",120
"50","musko",19,"Srednju skolu",1000,"Ne",120
"51","zensko",19,"Srednju skolu",1500,"Ne",100
"52","zensko",19,"Srednju skolu",700,"Ne",100
"53","zensko",19,"Srednju skolu",10000,"Ne",100
"54","musko",19,"Srednju skolu",3000,"Ne",76
"55","musko",19,"Srednju skolu",700,"Ne",65
"56","musko",20,"Srednju skolu",1100,"Da",750
"57","zensko",20,"Srednju skolu",1120,"Da",600
