"Spol","Koliko.imas.godina.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj."
"272","zensko",83,50
"233","zensko",61,100
"265","zensko",74,30
"262","zensko",73,100
"259","zensko",71,110
"250","musko",66,125
"242","zensko",64,12
"257","musko",68,70
"249","musko",65,150
"270","zensko",80,50
"269","musko",79,28
"258","zensko",70,300
"253","zensko",67,40
"248","musko",65,50
"256","musko",68,250
"251","zensko",66,150
"238","musko",63,100
"236","musko",62,128
"244","zensko",65,28
"268","musko",78,90
"254","zensko",67,70
"234","zensko",62,85
"239","zensko",64,50
"246","zensko",65,30
"240","musko",64,58
"237","zensko",62,400
"252","zensko",67,111
"255","zensko",67,45
"264","musko",74,50
"271","zensko",81,120
"243","zensko",64,300
"235","musko",62,25
"260","zensko",71,260
"245","zensko",65,300
"261","zensko",72,50
"247","zensko",65,90
"266","musko",75,180
"241","zensko",64,195
"267","musko",77,60
"232","zensko",61,118
