"Spol","Koliko.imas.godina.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj."
"144","zensko",25,25
"145","zensko",25,125
"146","musko",26,90
"147","musko",26,126
"148","zensko",27,100
"149","musko",28,300
"150","zensko",28,500
"151","zensko",29,30
"152","musko",29,80
"153","musko",30,70
"154","musko",30,180
"155","zensko",31,130
"156","zensko",31,52
"157","musko",31,30
"158","zensko",32,20
"159","musko",34,150
"160","musko",34,100
"161","zensko",34,130
"162","zensko",34,350
"163","zensko",35,300
"164","zensko",35,127
"165","musko",35,150
"166","zensko",35,150
"167","zensko",36,50
"168","musko",36,95
"169","zensko",37,103
"170","zensko",37,100
"171","musko",37,200
"172","zensko",37,50
"173","musko",37,150
"174","musko",37,150
"175","zensko",38,20
"176","musko",38,45
"178","zensko",38,90
"179","musko",39,40
"180","zensko",39,300
"181","musko",39,130
"186","zensko",27,10
"189","zensko",33,50
"273","musko",25,50
