"Spol","Koliko.imas.godina.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj."
"273","musko",25,50
"71","musko",21,120
"236","musko",62,128
"152","musko",29,80
"223","musko",56,200
"269","musko",79,28
"195","musko",44,58
"76","musko",21,100
"159","musko",34,150
"85","musko",21,60
"118","musko",22,115
"23","musko",21,500
"209","musko",50,200
"128","musko",23,180
"124","musko",22,82
"41","musko",21,172
"176","musko",38,45
"249","musko",65,150
"47","musko",21,150
"264","musko",74,50
"53","musko",21,131
"229","musko",59,200
"44","musko",21,150
"143","musko",24,70
"218","musko",54,50
"179","musko",39,40
"213","musko",51,120
"267","musko",77,60
"42","musko",21,160
"207","musko",49,60
"181","musko",39,130
"188","musko",42,100
"58","musko",21,128
"214","musko",52,150
"173","musko",37,150
"50","musko",21,140
"154","musko",30,180
"235","musko",62,25
"205","musko",48,100
"140","musko",23,70
"174","musko",37,150
"87","musko",21,50
"142","musko",24,70
"160","musko",34,100
"146","musko",26,90
"168","musko",36,95
"238","musko",63,100
"182","musko",40,125
"212","musko",51,129
"102","musko",22,200
"62","musko",21,128
"45","musko",21,150
"1","musko",17,10
"240","musko",64,58
"38","musko",21,200
"77","musko",21,100
"250","musko",66,125
"61","musko",21,128
"216","musko",53,164
"171","musko",37,200
"43","musko",21,153
"165","musko",35,150
"222","musko",56,310
"210","musko",50,35
"25","musko",21,450
"219","musko",55,100
"51","musko",21,139
"266","musko",75,180
"56","musko",21,130
"147","musko",26,126
"69","musko",21,123
"193","musko",43,200
"116","musko",22,120
"220","musko",55,50
"91","musko",21,31
"230","musko",59,128
"12","musko",20,80
"256","musko",68,250
"49","musko",21,147
"185","musko",41,85
