"Spol","Koliko.imas.godina.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj."
"85","musko",21,60
"140","musko",23,70
"114","zensko",22,125
"22","zensko",21,500
"136","zensko",23,50
"119","zensko",22,100
"117","zensko",22,120
"26","musko",21,400
"106","musko",22,149
"60","musko",21,128
"62","musko",21,128
"143","musko",24,70
"129","zensko",23,150
"64","zensko",21,127
"115","zensko",22,123
"67","zensko",21,125
"45","musko",21,150
"72","musko",21,120
"139","musko",23,40
"122","zensko",22,87
"76","musko",21,100
"59","zensko",21,128
"99","zensko",22,220
"142","musko",24,70
"110","zensko",22,128
"12","musko",20,80
"116","musko",22,120
"51","musko",21,139
"3","zensko",19,50
"130","zensko",23,150
"97","zensko",22,400
"25","musko",21,450
"36","zensko",21,200
"23","musko",21,500
"125","zensko",22,80
"6","zensko",20,200
"69","musko",21,123
"33","zensko",21,223
"79","zensko",21,100
"128","musko",23,180
