"Spol","Koliko.imas.godina.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj."
"183","zensko",40,90
"193","musko",43,200
"184","zensko",40,130
"222","musko",56,310
"197","zensko",45,120
"207","musko",49,60
"201","zensko",47,100
"219","musko",55,100
"226","zensko",57,150
"214","musko",52,150
"202","zensko",47,47
"224","zensko",57,150
"218","musko",54,50
"213","musko",51,120
"182","musko",40,125
"188","musko",42,100
"185","musko",41,85
"212","musko",51,129
"194","zensko",44,180
"203","zensko",48,270
"187","zensko",41,105
"192","zensko",43,100
"231","zensko",59,100
"190","zensko",42,120
"216","musko",53,164
"199","zensko",46,500
"200","zensko",46,120
"220","musko",55,50
"210","musko",50,35
"230","musko",59,128
"198","zensko",45,110
"191","zensko",42,100
"209","musko",50,200
"215","zensko",52,670
"227","zensko",58,500
"204","zensko",48,70
"228","zensko",59,300
"205","musko",48,100
"221","zensko",56,120
"211","zensko",51,200
