"Spol","Koliko.imas.godina.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj."
"67","zensko",21,125
"184","zensko",40,130
"59","zensko",21,128
"211","zensko",51,200
"232","zensko",61,118
"73","zensko",21,120
"130","zensko",23,150
"164","zensko",35,127
"204","zensko",48,70
"270","zensko",80,50
"192","zensko",43,100
"14","zensko",20,30
"32","zensko",21,250
"252","zensko",67,111
"40","zensko",21,180
"84","zensko",21,70
"34","zensko",21,200
"110","zensko",22,128
"114","zensko",22,125
"187","zensko",41,105
"163","zensko",35,300
"9","zensko",20,100
"7","zensko",20,150
"224","zensko",57,150
"3","zensko",19,50
"83","zensko",21,72
"134","zensko",23,100
"144","zensko",25,25
"201","zensko",47,100
"197","zensko",45,120
"199","zensko",46,500
"125","zensko",22,80
"271","zensko",81,120
"29","zensko",21,300
"243","zensko",64,300
"68","zensko",21,125
"115","zensko",22,123
"28","zensko",21,343
"202","zensko",47,47
"111","zensko",22,127
"215","zensko",52,670
"151","zensko",29,30
"103","zensko",22,180
"156","zensko",31,52
"167","zensko",36,50
"120","zensko",22,100
"39","zensko",21,198
"148","zensko",27,100
"258","zensko",70,300
"122","zensko",22,87
"194","zensko",44,180
"259","zensko",71,110
"178","zensko",38,90
"86","zensko",21,58
"200","zensko",46,120
"46","zensko",21,150
"260","zensko",71,260
"109","zensko",22,128
"251","zensko",66,150
"162","zensko",34,350
"244","zensko",65,28
"234","zensko",62,85
"262","zensko",73,100
"170","zensko",37,100
"113","zensko",22,126
"100","zensko",22,200
"64","zensko",21,127
"237","zensko",62,400
"119","zensko",22,100
"96","zensko",22,500
"101","zensko",22,200
"172","zensko",37,50
"190","zensko",42,120
"198","zensko",45,110
"97","zensko",22,400
"55","zensko",21,130
"89","zensko",21,42
"196","zensko",45,200
"255","zensko",67,45
"135","zensko",23,50
"273","musko",25,50
"71","musko",21,120
"236","musko",62,128
"152","musko",29,80
"223","musko",56,200
"269","musko",79,28
"195","musko",44,58
"76","musko",21,100
"159","musko",34,150
"85","musko",21,60
"118","musko",22,115
"23","musko",21,500
"209","musko",50,200
"128","musko",23,180
"124","musko",22,82
"41","musko",21,172
"176","musko",38,45
"249","musko",65,150
"47","musko",21,150
"264","musko",74,50
"53","musko",21,131
"229","musko",59,200
"44","musko",21,150
"143","musko",24,70
"218","musko",54,50
"179","musko",39,40
"213","musko",51,120
"267","musko",77,60
"42","musko",21,160
"207","musko",49,60
"181","musko",39,130
"188","musko",42,100
"58","musko",21,128
"214","musko",52,150
"173","musko",37,150
"50","musko",21,140
"154","musko",30,180
"235","musko",62,25
"205","musko",48,100
"140","musko",23,70
"174","musko",37,150
"87","musko",21,50
"142","musko",24,70
"160","musko",34,100
"146","musko",26,90
"168","musko",36,95
"238","musko",63,100
"182","musko",40,125
"212","musko",51,129
"102","musko",22,200
"62","musko",21,128
"45","musko",21,150
"1","musko",17,10
"240","musko",64,58
"38","musko",21,200
"77","musko",21,100
"250","musko",66,125
"61","musko",21,128
"216","musko",53,164
"171","musko",37,200
"43","musko",21,153
"165","musko",35,150
"222","musko",56,310
"210","musko",50,35
"25","musko",21,450
"219","musko",55,100
"51","musko",21,139
"266","musko",75,180
"56","musko",21,130
"147","musko",26,126
"69","musko",21,123
"193","musko",43,200
"116","musko",22,120
"220","musko",55,50
"91","musko",21,31
"230","musko",59,128
"12","musko",20,80
"256","musko",68,250
"49","musko",21,147
"185","musko",41,85
