"Spol","Koliko.imas.godina.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj."
"67","zensko",21,125
"184","zensko",40,130
"59","zensko",21,128
"211","zensko",51,200
"232","zensko",61,118
"73","zensko",21,120
"130","zensko",23,150
"164","zensko",35,127
"204","zensko",48,70
"270","zensko",80,50
"192","zensko",43,100
"14","zensko",20,30
"32","zensko",21,250
"252","zensko",67,111
"40","zensko",21,180
"84","zensko",21,70
"34","zensko",21,200
"110","zensko",22,128
"114","zensko",22,125
"187","zensko",41,105
"163","zensko",35,300
"9","zensko",20,100
"7","zensko",20,150
"224","zensko",57,150
"3","zensko",19,50
"83","zensko",21,72
"134","zensko",23,100
"144","zensko",25,25
"201","zensko",47,100
"197","zensko",45,120
"199","zensko",46,500
"125","zensko",22,80
"271","zensko",81,120
"29","zensko",21,300
"243","zensko",64,300
"68","zensko",21,125
"115","zensko",22,123
"28","zensko",21,343
"202","zensko",47,47
"111","zensko",22,127
"215","zensko",52,670
"151","zensko",29,30
"103","zensko",22,180
"156","zensko",31,52
"167","zensko",36,50
"120","zensko",22,100
"39","zensko",21,198
"148","zensko",27,100
"258","zensko",70,300
"122","zensko",22,87
"194","zensko",44,180
"259","zensko",71,110
"178","zensko",38,90
"86","zensko",21,58
"200","zensko",46,120
"46","zensko",21,150
"260","zensko",71,260
"109","zensko",22,128
"251","zensko",66,150
"162","zensko",34,350
"244","zensko",65,28
"234","zensko",62,85
"262","zensko",73,100
"170","zensko",37,100
"113","zensko",22,126
"100","zensko",22,200
"64","zensko",21,127
"237","zensko",62,400
"119","zensko",22,100
"96","zensko",22,500
"101","zensko",22,200
"172","zensko",37,50
"190","zensko",42,120
"198","zensko",45,110
"97","zensko",22,400
"55","zensko",21,130
"89","zensko",21,42
"196","zensko",45,200
"255","zensko",67,45
"135","zensko",23,50
