"Spol","Koliko.imas.godina.","sto.mislis.koliko.ih.ima."
"220","musko",65,80
"202","musko",60,320
"235","musko",74,60
"201","musko",60,600
"234","musko",73,480
"206","musko",60,60
"232","musko",71,180
"208","musko",61,350
"228","musko",68,320
"231","musko",71,300
"216","musko",64,50
"213","musko",63,130
"203","musko",60,250
"224","musko",67,500
"226","musko",67,350
"236","musko",75,450
"211","musko",61,60
"225","musko",67,420
"207","musko",60,60
"240","musko",91,350
"2111","zensko",61,60
"2251","zensko",67,420
"2031","zensko",60,250
"227","zensko",68,401
"204","zensko",60,200
"210","zensko",61,250
"212","zensko",63,100
"214","zensko",64,250
"215","zensko",64,200
"217","zensko",65,350
"218","zensko",65,300
"221","zensko",65,150
"222","zensko",66,600
"223","zensko",66,250
"229","zensko",69,200
"230","zensko",71,300
"233","zensko",71,260
"237","zensko",77,420
"238","zensko",81,418
"239","zensko",84,380
