"Spol","Koliko.imas.godina.","sto.mislis.koliko.ih.ima."
"150","musko",38,250
"125","musko",32,110
"111","musko",27,100
"119","musko",30,150
"116","musko",30,200
"122","musko",32,300
"138","musko",34,35
"121","musko",31,200
"145","musko",37,63
"135","musko",34,500
"120","musko",30,100
"112","musko",28,200
"127","musko",32,40
"107","musko",26,200
"156","musko",39,35
"129","musko",33,370
"123","musko",32,250
"113","musko",28,70
"115","musko",30,220
"124","musko",32,150
"137","zensko",34,250
"134","zensko",33,100
"143","zensko",36,350
"133","zensko",33,120
"149","zensko",38,300
"153","zensko",39,128
"140","zensko",35,200
"147","zensko",38,450
"148","zensko",38,399
"117","zensko",30,200
"128","zensko",33,420
"136","zensko",34,380
"106","zensko",25,666
"130","zensko",33,350
"109","zensko",27,550
"131","zensko",33,300
"126","zensko",32,50
"118","zensko",30,170
"142","zensko",35,180
"132","zensko",33,150
