"Spol","Koliko.imas.godina.","sto.mislis.koliko.ih.ima."
"2","musko",18,126
"86","musko",21,500
"1","musko",17,420
"103","musko",23,200
"68","musko",20,128
"46","musko",19,127
"76","musko",20,116
"16","musko",19,380
"87","musko",21,470
"84","musko",21,729
"6","musko",19,1000
"58","musko",20,420
"28","musko",19,170
"94","musko",21,134
"29","musko",19,160
"49","musko",19,120
"32","musko",19,150
"15","musko",19,400
"14","musko",19,401
"92","musko",21,150
"150","musko",38,250
"125","musko",32,110
"111","musko",27,100
"119","musko",30,150
"116","musko",30,200
"122","musko",32,300
"138","musko",34,35
"121","musko",31,200
"145","musko",37,63
"135","musko",34,500
"120","musko",30,100
"112","musko",28,200
"127","musko",32,40
"107","musko",26,200
"156","musko",39,35
"129","musko",33,370
"123","musko",32,250
"113","musko",28,70
"115","musko",30,220
"124","musko",32,150
"184","musko",51,150
"164","musko",42,20
"169","musko",45,180
"178","musko",49,413
"199","musko",58,150
"157","musko",40,350
"158","musko",40,150
"159","musko",40,100
"160","musko",40,25
"163","musko",41,170
"172","musko",46,330
"173","musko",46,50
"175","musko",47,100
"176","musko",48,60
"187","musko",52,128
"189","musko",53,150
"190","musko",54,450
"192","musko",55,250
"198","musko",58,300
"200","musko",59,150
"220","musko",65,80
"202","musko",60,320
"235","musko",74,60
"201","musko",60,600
"234","musko",73,480
"206","musko",60,60
"232","musko",71,180
"208","musko",61,350
"228","musko",68,320
"231","musko",71,300
"216","musko",64,50
"213","musko",63,130
"203","musko",60,250
"224","musko",67,500
"226","musko",67,350
"236","musko",75,450
"211","musko",61,60
"225","musko",67,420
"207","musko",60,60
"240","musko",91,350
