"Spol","Koliko.imas.godina.","sto.mislis.koliko.ih.ima."
"2","musko",18,126
"86","musko",21,500
"1","musko",17,420
"103","musko",23,200
"68","musko",20,128
"46","musko",19,127
"76","musko",20,116
"16","musko",19,380
"87","musko",21,470
"84","musko",21,729
"6","musko",19,1000
"58","musko",20,420
"28","musko",19,170
"94","musko",21,134
"29","musko",19,160
"49","musko",19,120
"32","musko",19,150
"15","musko",19,400
"14","musko",19,401
"92","musko",21,150
"47","zensko",19,126
"104","zensko",23,123
"81","zensko",20,30
"64","zensko",20,227
"5","zensko",19,1000
"24","zensko",19,200
"69","zensko",20,128
"35","zensko",19,130
"62","zensko",20,250
"20","zensko",19,250
"48","zensko",19,125
"88","zensko",21,450
"98","zensko",22,200
"96","zensko",22,500
"9","zensko",19,523
"85","zensko",21,520
"31","zensko",19,150
"3","zensko",18,126
"45","zensko",19,127
"10","zensko",19,500
