"Spol","Koliko.imas.godina.","sto.mislis.koliko.ih.ima."
"184","musko",51,150
"164","musko",42,20
"169","musko",45,180
"178","musko",49,413
"199","musko",58,150
"157","musko",40,350
"158","musko",40,150
"159","musko",40,100
"160","musko",40,25
"163","musko",41,170
"172","musko",46,330
"173","musko",46,50
"175","musko",47,100
"176","musko",48,60
"187","musko",52,128
"189","musko",53,150
"190","musko",54,450
"192","musko",55,250
"198","musko",58,300
"200","musko",59,150
"171","zensko",46,430
"166","zensko",44,430
"182","zensko",51,200
"165","zensko",43,50
"186","zensko",52,600
"194","zensko",56,200
"161","zensko",40,25
"180","zensko",50,350
"1781","zensko",49,413
"183","zensko",51,200
"174","zensko",47,700
"167","zensko",44,250
"170","zensko",45,50
"1641","zensko",42,20
"1841","zensko",51,150
"193","zensko",55,120
"1991","zensko",58,150
"162","zensko",41,420
"191","zensko",54,300
"168","zensko",45,500
