"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza."
"201","musko",60,2600
"202","musko",60,2000
"203","musko",60,2500
"204","zensko",60,500
"205","musko",60,1500
"206","musko",60,1000
"207","musko",60,1200
"208","musko",61,1400
"209","musko",61,1500
"211","musko",61,1200
"212","zensko",63,1000
"213","musko",63,800
"214","zensko",64,90
"215","zensko",64,1000
"216","musko",64,1500
"218","zensko",65,1000
"219","musko",65,1200
"220","musko",65,2000
"221","zensko",65,1200
"222","zensko",66,2000
"223","zensko",66,500
"224","musko",67,800
"225","musko",67,500
"226","musko",67,600
"227","musko",68,450
"228","musko",68,2200
"229","zensko",69,100
"230","zensko",71,2000
"231","musko",71,1600
"232","musko",71,1000
"233","zensko",71,1200
"234","musko",73,1200
"235","musko",74,2700
"236","musko",75,700
"237","zensko",77,1000
"238","zensko",81,2000
"239","zensko",84,1100
"240","musko",91,2500
"48","zensko",68,1500
"9","zensko",72,1245
