"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza."
"137","zensko",34,1000
"147","zensko",38,1200
"138","musko",34,900
"132","zensko",33,600
"131","zensko",33,1500
"130","zensko",33,1000
"151","zensko",39,1500
"113","musko",28,2000
"155","zensko",39,1750
"140","zensko",35,1500
"107","musko",26,500
"148","zensko",38,2100
"114","zensko",30,700
"145","musko",37,1900
"156","musko",39,1000
"122","musko",32,2000
"150","musko",38,1400
"136","zensko",34,2000
"144","musko",37,1100
"121","musko",31,1500
"119","musko",30,1300
"117","zensko",30,1300
"126","zensko",32,700
"124","musko",32,1400
"106","zensko",25,1600
"127","musko",32,1500
"154","zensko",39,1500
"110","musko",27,1200
"115","musko",30,1050
"111","musko",27,850
"118","zensko",30,2000
"135","musko",34,1200
"143","zensko",36,800
"109","zensko",27,700
"133","zensko",33,1200
"123","musko",32,1500
"139","zensko",35,900
"134","zensko",33,1500
"152","zensko",39,650
"153","zensko",39,1200
