"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza."
"4","musko",19,1000
"122","musko",32,2000
"200","musko",59,2200
"15","musko",19,700
"156","musko",39,1000
"176","musko",48,900
"50","musko",19,1000
"58","musko",20,1300
"44","musko",19,1300
"14","musko",19,500
"26","musko",19,1200
"231","musko",71,1600
"60","musko",20,400
"119","musko",30,1300
"84","musko",21,1400
"198","musko",58,700
"87","musko",21,600
"101","musko",23,2000
"102","musko",23,1500
"56","musko",20,1100
"72","musko",20,1092
"8","musko",19,1500
"76","musko",20,1000
"113","musko",28,2000
"226","musko",67,600
"115","musko",30,1050
"220","musko",65,2000
"55","musko",19,700
"234","musko",73,1200
"6","musko",19,2000
"79","musko",20,1500
"189","musko",53,1700
"224","musko",67,800
"163","musko",41,1400
"219","musko",65,1200
"33","musko",19,1300
"27","musko",19,1500
"211","musko",61,1200
"92","musko",21,2500
"213","musko",63,800
"236","musko",75,700
"124","musko",32,1400
"145","musko",37,1900
"190","musko",54,2000
"202","musko",60,2000
"123","musko",32,1500
"150","musko",38,1400
"94","musko",21,800
"205","musko",60,1500
"16","musko",19,1500
"135","musko",34,1200
"68","musko",20,1069
"36","musko",19,3000
"110","musko",27,1200
"2","musko",18,900
"112","musko",28,750
"138","musko",34,900
"207","musko",60,1200
"187","musko",52,1300
"120","musko",30,1200
"158","musko",40,1000
"175","musko",47,2000
"121","musko",31,1500
"86","musko",21,300
"203","musko",60,2500
"32","musko",19,800
"232","musko",71,1000
"208","musko",61,1400
"228","musko",68,2200
"216","musko",64,1500
"54","musko",19,3000
"201","musko",60,2600
"144","musko",37,1100
"235","musko",74,2700
"111","musko",27,850
"159","musko",40,1500
"97","musko",22,1200
"49","musko",19,700
"125","musko",32,1200
"192","musko",55,1200
