"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza."
"92","musko",21,2500
"102","musko",23,1500
"89","zensko",21,3000
"5","zensko",19,1500
"49","musko",19,700
"77","zensko",20,2500
"38","zensko",19,800
"66","zensko",20,800
"105","zensko",24,1000
"47","zensko",19,1000
"20","zensko",19,1000
"2","musko",18,900
"74","zensko",20,800
"23","zensko",19,3000
"94","musko",21,800
"60","musko",20,400
"91","musko",21,1450
"13","zensko",19,500
"18","zensko",19,1200
"1","musko",17,2000
"43","zensko",19,2000
"98","zensko",22,1000
"46","musko",19,1900
"70","zensko",20,1500
"100","zensko",22,1000
"32","musko",19,800
"50","musko",19,1000
"97","musko",22,1200
"8","musko",19,1500
"90","zensko",21,1200
"12","zensko",19,3000
"84","musko",21,1400
"64","zensko",20,678
"16","musko",19,1500
"41","zensko",19,800
"68","musko",20,1069
"39","zensko",19,1500
"101","musko",23,2000
"37","zensko",19,956
"51","zensko",19,1500
