"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza."
"183","zensko",51,900
"185","zensko",51,1000
"161","zensko",40,1500
"188","zensko",53,1000
"186","zensko",52,500
"157","musko",40,3000
"172","musko",46,2100
"166","zensko",44,800
"165","zensko",43,1000
"199","zensko",58,1200
"176","musko",48,900
"162","zensko",41,500
"196","zensko",57,1200
"181","zensko",50,1500
"175","musko",47,2000
"167","zensko",44,1200
"182","zensko",51,2000
"194","zensko",56,1000
"190","musko",54,2000
"160","musko",40,1000
"180","zensko",50,1800
"168","zensko",45,1000
"198","musko",58,700
"170","zensko",45,1000
"197","zensko",57,1000
"187","musko",52,1300
"163","musko",41,1400
"179","zensko",50,3000
"189","musko",53,1700
"177","zensko",49,2000
"158","musko",40,1000
"171","zensko",46,2500
"173","musko",46,1000
"178","zensko",49,1700
"193","zensko",55,1300
"184","zensko",51,1000
"195","zensko",56,1500
"192","musko",55,1200
"169","zensko",45,1600
"174","zensko",47,1000
