"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza."
"106","zensko",25,1600
"66","zensko",20,800
"154","zensko",39,1500
"48","zensko",19,1500
"171","zensko",46,2500
"105","zensko",24,1000
"64","zensko",20,678
"9","zensko",19,1245
"177","zensko",49,2000
"134","zensko",33,1500
"178","zensko",49,1700
"47","zensko",19,1000
"12","zensko",19,3000
"62","zensko",20,2000
"146","zensko",38,2000
"82","zensko",21,1200
"61","zensko",20,1000
"19","zensko",19,3000
"185","zensko",51,1000
"88","zensko",21,200
"39","zensko",19,1500
"131","zensko",33,1500
"162","zensko",41,500
"90","zensko",21,1200
"223","zensko",66,500
"212","zensko",63,1000
"57","zensko",20,1120
"80","zensko",20,900
"194","zensko",56,1000
"99","zensko",22,3000
"233","zensko",71,1200
"136","zensko",34,2000
"222","zensko",66,2000
"180","zensko",50,1800
"197","zensko",57,1000
"215","zensko",64,1000
"75","zensko",20,1200
"181","zensko",50,1500
"95","zensko",21,250
"183","zensko",51,900
"169","zensko",45,1600
"83","zensko",21,1500
"21","zensko",19,700
"155","zensko",39,1750
"96","zensko",22,3000
"186","zensko",52,500
"147","zensko",38,1200
"143","zensko",36,800
"71","zensko",20,550
"85","zensko",21,1000
"214","zensko",64,90
"166","zensko",44,800
"43","zensko",19,2000
"137","zensko",34,1000
"167","zensko",44,1200
"140","zensko",35,1500
"108","zensko",26,1200
"74","zensko",20,800
"18","zensko",19,1200
"38","zensko",19,800
"117","zensko",30,1300
"41","zensko",19,800
"24","zensko",19,1000
"52","zensko",19,700
"238","zensko",81,2000
"20","zensko",19,1000
"191","zensko",54,1600
"168","zensko",45,1000
"239","zensko",84,1100
"230","zensko",71,2000
"5","zensko",19,1500
"139","zensko",35,900
"182","zensko",51,2000
"40","zensko",19,1500
"170","zensko",45,1000
"7","zensko",19,250
"149","zensko",38,1300
"174","zensko",47,1000
"126","zensko",32,700
"98","zensko",22,1000
"4","musko",19,1000
"122","musko",32,2000
"200","musko",59,2200
"15","musko",19,700
"156","musko",39,1000
"176","musko",48,900
"50","musko",19,1000
"58","musko",20,1300
"44","musko",19,1300
"14","musko",19,500
"26","musko",19,1200
"231","musko",71,1600
"60","musko",20,400
"119","musko",30,1300
"84","musko",21,1400
"198","musko",58,700
"87","musko",21,600
"101","musko",23,2000
"102","musko",23,1500
"56","musko",20,1100
"72","musko",20,1092
"8","musko",19,1500
"76","musko",20,1000
"113","musko",28,2000
"226","musko",67,600
"115","musko",30,1050
"220","musko",65,2000
"55","musko",19,700
"234","musko",73,1200
"6","musko",19,2000
"79","musko",20,1500
"189","musko",53,1700
"224","musko",67,800
"163","musko",41,1400
"219","musko",65,1200
"33","musko",19,1300
"27","musko",19,1500
"211","musko",61,1200
"92","musko",21,2500
"213","musko",63,800
"236","musko",75,700
"124","musko",32,1400
"145","musko",37,1900
"190","musko",54,2000
"202","musko",60,2000
"123","musko",32,1500
"150","musko",38,1400
"94","musko",21,800
"205","musko",60,1500
"16","musko",19,1500
"135","musko",34,1200
"68","musko",20,1069
"36","musko",19,3000
"110","musko",27,1200
"2","musko",18,900
"112","musko",28,750
"138","musko",34,900
"207","musko",60,1200
"187","musko",52,1300
"120","musko",30,1200
"158","musko",40,1000
"175","musko",47,2000
"121","musko",31,1500
"86","musko",21,300
"203","musko",60,2500
"32","musko",19,800
"232","musko",71,1000
"208","musko",61,1400
"228","musko",68,2200
"216","musko",64,1500
"54","musko",19,3000
"201","musko",60,2600
"144","musko",37,1100
"235","musko",74,2700
"111","musko",27,850
"159","musko",40,1500
"97","musko",22,1200
"49","musko",19,700
"125","musko",32,1200
"192","musko",55,1200
