"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza."
"106","zensko",25,1600
"66","zensko",20,800
"154","zensko",39,1500
"48","zensko",19,1500
"171","zensko",46,2500
"105","zensko",24,1000
"64","zensko",20,678
"9","zensko",19,1245
"177","zensko",49,2000
"134","zensko",33,1500
"178","zensko",49,1700
"47","zensko",19,1000
"12","zensko",19,3000
"62","zensko",20,2000
"146","zensko",38,2000
"82","zensko",21,1200
"61","zensko",20,1000
"19","zensko",19,3000
"185","zensko",51,1000
"88","zensko",21,200
"39","zensko",19,1500
"131","zensko",33,1500
"162","zensko",41,500
"90","zensko",21,1200
"223","zensko",66,500
"212","zensko",63,1000
"57","zensko",20,1120
"80","zensko",20,900
"194","zensko",56,1000
"99","zensko",22,3000
"233","zensko",71,1200
"136","zensko",34,2000
"222","zensko",66,2000
"180","zensko",50,1800
"197","zensko",57,1000
"215","zensko",64,1000
"75","zensko",20,1200
"181","zensko",50,1500
"95","zensko",21,250
"183","zensko",51,900
"169","zensko",45,1600
"83","zensko",21,1500
"21","zensko",19,700
"155","zensko",39,1750
"96","zensko",22,3000
"186","zensko",52,500
"147","zensko",38,1200
"143","zensko",36,800
"71","zensko",20,550
"85","zensko",21,1000
"214","zensko",64,90
"166","zensko",44,800
"43","zensko",19,2000
"137","zensko",34,1000
"167","zensko",44,1200
"140","zensko",35,1500
"108","zensko",26,1200
"74","zensko",20,800
"18","zensko",19,1200
"38","zensko",19,800
"117","zensko",30,1300
"41","zensko",19,800
"24","zensko",19,1000
"52","zensko",19,700
"238","zensko",81,2000
"20","zensko",19,1000
"191","zensko",54,1600
"168","zensko",45,1000
"239","zensko",84,1100
"230","zensko",71,2000
"5","zensko",19,1500
"139","zensko",35,900
"182","zensko",51,2000
"40","zensko",19,1500
"170","zensko",45,1000
"7","zensko",19,250
"149","zensko",38,1300
"174","zensko",47,1000
"126","zensko",32,700
"98","zensko",22,1000
