"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.ta.udaljenost."
"255","musko",67,1000
"259","musko",71,1700
"262","musko",73,1500
"244","musko",65,2500
"247","musko",65,2800
"235","musko",62,2000
"236","musko",62,1500
"238","musko",63,1500
"240","musko",64,1250
"248","musko",65,1500
"249","musko",65,2500
"250","musko",66,2890
"256","musko",68,1500
"257","musko",68,2000
"263","musko",73,2100
"264","musko",74,1700
"266","musko",75,1800
"267","musko",77,2250
"268","musko",78,1800
"269","musko",79,1500
"2591","zensko",71,1700
"2441","zensko",65,2500
"2551","zensko",67,1000
"246","zensko",65,1500
"241","zensko",64,2000
"2621","zensko",73,1500
"253","zensko",67,2000
"258","zensko",70,2300
"245","zensko",65,1000
"252","zensko",67,3000
"260","zensko",71,1200
"237","zensko",62,1600
"2471","zensko",65,2800
"261","zensko",72,1000
"233","zensko",61,1100
"272","zensko",83,1800
"243","zensko",64,1000
"242","zensko",64,5000
"239","zensko",64,2500
"271","zensko",81,2000
