"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.ta.udaljenost."
"146","musko",26,2500
"147","musko",26,1500
"149","musko",28,2000
"152","musko",29,3500
"153","musko",30,2000
"154","musko",30,1500
"157","musko",31,2000
"159","musko",34,1000
"160","musko",34,2000
"165","musko",35,1500
"168","musko",36,1850
"171","musko",37,2000
"173","musko",37,2000
"174","musko",37,1000
"176","musko",38,2200
"179","musko",39,1200
"181","musko",39,1400
"273","musko",25,1400
"145","zensko",25,1300
"177","zensko",38,2250
"170","zensko",37,2500
"172","zensko",37,1200
"164","zensko",35,1426
"169","zensko",37,1863
"150","zensko",28,2500
"155","zensko",31,1000
"1451","zensko",25,1300
"144","zensko",25,1300
"158","zensko",32,2000
"1771","zensko",38,2250
"166","zensko",35,1500
"189","zensko",33,4500
"148","zensko",27,1700
"167","zensko",36,2800
"151","zensko",29,1000
"180","zensko",39,5000
"175","zensko",38,1000
"186","zensko",27,2000
"178","zensko",38,1500
"161","zensko",34,1600
