"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.ta.udaljenost."
"61","musko",21,1300
"43","musko",21,2500
"44","musko",21,2300
"45","musko",21,2000
"42","musko",21,2500
"71","musko",21,1500
"106","musko",22,1200
"85","musko",21,1500
"47","musko",21,6000
"48","musko",21,1500
"102","musko",22,5000
"62","musko",21,1700
"69","musko",21,1750
"58","musko",21,1500
"76","musko",21,1300
"65","musko",21,1500
"27","musko",21,3200
"142","musko",24,2000
"12","musko",20,2500
"70","musko",21,2780
"146","musko",26,2500
"147","musko",26,1500
"149","musko",28,2000
"152","musko",29,3500
"153","musko",30,2000
"154","musko",30,1500
"157","musko",31,2000
"159","musko",34,1000
"160","musko",34,2000
"165","musko",35,1500
"168","musko",36,1850
"171","musko",37,2000
"173","musko",37,2000
"174","musko",37,1000
"176","musko",38,2200
"179","musko",39,1200
"181","musko",39,1400
"273","musko",25,1400
"145","zensko",25,1300
"177","zensko",38,2250
"182","musko",40,1400
"193","musko",43,1100
"217","musko",54,1800
"195","musko",44,1250
"188","musko",42,1000
"218","musko",54,2200
"205","musko",48,2000
"219","musko",55,1500
"210","musko",50,1300
"213","musko",51,1400
"220","musko",55,2000
"207","musko",49,1500
"185","musko",41,1500
"230","musko",59,1500
"222","musko",56,1750
"214","musko",52,1500
"223","musko",56,1500
"229","musko",59,2800
"216","musko",53,2500
"209","musko",50,2000
"255","musko",67,1000
"259","musko",71,1700
"262","musko",73,1500
"244","musko",65,2500
"247","musko",65,2800
"235","musko",62,2000
"236","musko",62,1500
"238","musko",63,1500
"240","musko",64,1250
"248","musko",65,1500
"249","musko",65,2500
"250","musko",66,2890
"256","musko",68,1500
"257","musko",68,2000
"263","musko",73,2100
"264","musko",74,1700
"266","musko",75,1800
"267","musko",77,2250
"268","musko",78,1800
"269","musko",79,1500
