"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.ta.udaljenost."
"61","musko",21,1300
"43","musko",21,2500
"44","musko",21,2300
"45","musko",21,2000
"42","musko",21,2500
"71","musko",21,1500
"106","musko",22,1200
"85","musko",21,1500
"47","musko",21,6000
"48","musko",21,1500
"102","musko",22,5000
"62","musko",21,1700
"69","musko",21,1750
"58","musko",21,1500
"76","musko",21,1300
"65","musko",21,1500
"27","musko",21,3200
"142","musko",24,2000
"12","musko",20,2500
"70","musko",21,2780
"95","zensko",22,1800
"115","zensko",22,2000
"135","zensko",23,2000
"105","zensko",22,2300
"101","zensko",22,3000
"6","zensko",20,2000
"24","zensko",21,5000
"100","zensko",22,1500
"103","zensko",22,1600
"40","zensko",21,1800
"109","zensko",22,4000
"137","zensko",23,2672
"64","zensko",21,2800
"114","zensko",22,2890
"133","zensko",23,1500
"68","zensko",21,1000
"99","zensko",22,4000
"21","zensko",21,1500
"120","zensko",22,2000
"32","zensko",21,2500
