"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.ta.udaljenost."
"182","musko",40,1400
"193","musko",43,1100
"217","musko",54,1800
"195","musko",44,1250
"188","musko",42,1000
"218","musko",54,2200
"205","musko",48,2000
"219","musko",55,1500
"210","musko",50,1300
"213","musko",51,1400
"220","musko",55,2000
"207","musko",49,1500
"185","musko",41,1500
"230","musko",59,1500
"222","musko",56,1750
"214","musko",52,1500
"223","musko",56,1500
"229","musko",59,2800
"216","musko",53,2500
"209","musko",50,2000
"211","zensko",51,2500
"198","zensko",45,1300
"215","zensko",52,1800
"221","zensko",56,1000
"203","zensko",48,2000
"184","zensko",40,1500
"183","zensko",40,5000
"196","zensko",45,1500
"208","zensko",50,2000
"187","zensko",41,1500
"190","zensko",42,800
"199","zensko",46,2000
"200","zensko",46,2000
"206","zensko",49,35
"231","zensko",59,900
"225","zensko",57,3100
"226","zensko",57,1100
"228","zensko",59,2000
"191","zensko",42,2000
"204","zensko",48,1500
