"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.ta.udaljenost."
"95","zensko",22,1800
"115","zensko",22,2000
"135","zensko",23,2000
"105","zensko",22,2300
"101","zensko",22,3000
"6","zensko",20,2000
"24","zensko",21,5000
"100","zensko",22,1500
"103","zensko",22,1600
"40","zensko",21,1800
"109","zensko",22,4000
"137","zensko",23,2672
"64","zensko",21,2800
"114","zensko",22,2890
"133","zensko",23,1500
"68","zensko",21,1000
"99","zensko",22,4000
"21","zensko",21,1500
"120","zensko",22,2000
"32","zensko",21,2500
"170","zensko",37,2500
"172","zensko",37,1200
"164","zensko",35,1426
"169","zensko",37,1863
"150","zensko",28,2500
"155","zensko",31,1000
"145","zensko",25,1300
"144","zensko",25,1300
"158","zensko",32,2000
"177","zensko",38,2250
"166","zensko",35,1500
"189","zensko",33,4500
"148","zensko",27,1700
"167","zensko",36,2800
"151","zensko",29,1000
"180","zensko",39,5000
"175","zensko",38,1000
"186","zensko",27,2000
"178","zensko",38,1500
"161","zensko",34,1600
"211","zensko",51,2500
"198","zensko",45,1300
"215","zensko",52,1800
"221","zensko",56,1000
"203","zensko",48,2000
"184","zensko",40,1500
"183","zensko",40,5000
"196","zensko",45,1500
"208","zensko",50,2000
"187","zensko",41,1500
"190","zensko",42,800
"199","zensko",46,2000
"200","zensko",46,2000
"206","zensko",49,35
"231","zensko",59,900
"225","zensko",57,3100
"226","zensko",57,1100
"228","zensko",59,2000
"191","zensko",42,2000
"204","zensko",48,1500
"259","zensko",71,1700
"244","zensko",65,2500
"255","zensko",67,1000
"246","zensko",65,1500
"241","zensko",64,2000
"262","zensko",73,1500
"253","zensko",67,2000
"258","zensko",70,2300
"245","zensko",65,1000
"252","zensko",67,3000
"260","zensko",71,1200
"237","zensko",62,1600
"247","zensko",65,2800
"261","zensko",72,1000
"233","zensko",61,1100
"272","zensko",83,1800
"243","zensko",64,1000
"242","zensko",64,5000
"239","zensko",64,2500
"271","zensko",81,2000
"61","musko",21,1300
"43","musko",21,2500
"44","musko",21,2300
"45","musko",21,2000
"42","musko",21,2500
"71","musko",21,1500
"106","musko",22,1200
"85","musko",21,1500
"47","musko",21,6000
"48","musko",21,1500
"102","musko",22,5000
"62","musko",21,1700
"69","musko",21,1750
"58","musko",21,1500
"76","musko",21,1300
"65","musko",21,1500
"27","musko",21,3200
"142","musko",24,2000
"12","musko",20,2500
"70","musko",21,2780
"146","musko",26,2500
"147","musko",26,1500
"149","musko",28,2000
"152","musko",29,3500
"153","musko",30,2000
"154","musko",30,1500
"157","musko",31,2000
"159","musko",34,1000
"160","musko",34,2000
"165","musko",35,1500
"168","musko",36,1850
"171","musko",37,2000
"173","musko",37,2000
"174","musko",37,1000
"176","musko",38,2200
"179","musko",39,1200
"181","musko",39,1400
"273","musko",25,1400
"1451","zensko",25,1300
"1771","zensko",38,2250
"182","musko",40,1400
"193","musko",43,1100
"217","musko",54,1800
"195","musko",44,1250
"188","musko",42,1000
"218","musko",54,2200
"205","musko",48,2000
"219","musko",55,1500
"210","musko",50,1300
"213","musko",51,1400
"220","musko",55,2000
"207","musko",49,1500
"185","musko",41,1500
"230","musko",59,1500
"222","musko",56,1750
"214","musko",52,1500
"223","musko",56,1500
"229","musko",59,2800
"216","musko",53,2500
"209","musko",50,2000
"2551","musko",67,1000
"2591","musko",71,1700
"2621","musko",73,1500
"2441","musko",65,2500
"2471","musko",65,2800
"235","musko",62,2000
"236","musko",62,1500
"238","musko",63,1500
"240","musko",64,1250
"248","musko",65,1500
"249","musko",65,2500
"250","musko",66,2890
"256","musko",68,1500
"257","musko",68,2000
"263","musko",73,2100
"264","musko",74,1700
"266","musko",75,1800
"267","musko",77,2250
"268","musko",78,1800
"269","musko",79,1500
