"Spol","Koliko.imas.godina.","sto.mislis.kolika.je.ta.udaljenost."
"95","zensko",22,1800
"115","zensko",22,2000
"135","zensko",23,2000
"105","zensko",22,2300
"101","zensko",22,3000
"6","zensko",20,2000
"24","zensko",21,5000
"100","zensko",22,1500
"103","zensko",22,1600
"40","zensko",21,1800
"109","zensko",22,4000
"137","zensko",23,2672
"64","zensko",21,2800
"114","zensko",22,2890
"133","zensko",23,1500
"68","zensko",21,1000
"99","zensko",22,4000
"21","zensko",21,1500
"120","zensko",22,2000
"32","zensko",21,2500
"170","zensko",37,2500
"172","zensko",37,1200
"164","zensko",35,1426
"169","zensko",37,1863
"150","zensko",28,2500
"155","zensko",31,1000
"145","zensko",25,1300
"144","zensko",25,1300
"158","zensko",32,2000
"177","zensko",38,2250
"166","zensko",35,1500
"189","zensko",33,4500
"148","zensko",27,1700
"167","zensko",36,2800
"151","zensko",29,1000
"180","zensko",39,5000
"175","zensko",38,1000
"186","zensko",27,2000
"178","zensko",38,1500
"161","zensko",34,1600
"211","zensko",51,2500
"198","zensko",45,1300
"215","zensko",52,1800
"221","zensko",56,1000
"203","zensko",48,2000
"184","zensko",40,1500
"183","zensko",40,5000
"196","zensko",45,1500
"208","zensko",50,2000
"187","zensko",41,1500
"190","zensko",42,800
"199","zensko",46,2000
"200","zensko",46,2000
"206","zensko",49,35
"231","zensko",59,900
"225","zensko",57,3100
"226","zensko",57,1100
"228","zensko",59,2000
"191","zensko",42,2000
"204","zensko",48,1500
"259","zensko",71,1700
"244","zensko",65,2500
"255","zensko",67,1000
"246","zensko",65,1500
"241","zensko",64,2000
"262","zensko",73,1500
"253","zensko",67,2000
"258","zensko",70,2300
"245","zensko",65,1000
"252","zensko",67,3000
"260","zensko",71,1200
"237","zensko",62,1600
"247","zensko",65,2800
"261","zensko",72,1000
"233","zensko",61,1100
"272","zensko",83,1800
"243","zensko",64,1000
"242","zensko",64,5000
"239","zensko",64,2500
"271","zensko",81,2000
